city_key,city,neighborhood_key,neighborhood,listings,analyzable,activity_sum,activity_mean,latitude,longitude,coverage,activity_per_listing,rank_high,rank_low
milan,Milán,milan:ticinese,TICINESE,749,749,507.81,0.6779839786381843,45.45155,9.17974,1.0,0.6779839786381843,7.0,58.0
new_york,Nueva York,new_york:battery park city,Battery Park City,70,70,24.32,0.3474285714285714,40.710115,-74.01683,1.0,0.3474285714285714,115.0,1.0
new_york,Nueva York,new_york:civic center,Civic Center,52,52,23.27,0.4475,40.71329,-74.00450000000001,1.0,0.4475,114.0,2.0
new_york,Nueva York,new_york:downtown brooklyn,Downtown Brooklyn,83,83,54.32,0.6544578313253012,40.69467,-73.98444,1.0,0.6544578313253012,109.0,7.0
new_york,Nueva York,new_york:east elmhurst,East Elmhurst,185,185,824.73,4.458,40.76275,-73.87712,1.0,4.458,1.0,115.0
new_york,Nueva York,new_york:fort hamilton,Fort Hamilton,55,55,37.99,0.6907272727272727,40.61859,-74.0319,1.0,0.6907272727272727,108.0,8.0
new_york,Nueva York,new_york:fresh meadows,Fresh Meadows,32,32,84.7,2.646875,40.738595000000004,-73.79057,1.0,2.646875,5.0,111.0
new_york,Nueva York,new_york:jamaica,Jamaica,231,231,604.56,2.617142857142857,40.68462,-73.78541,1.0,2.617142857142857,6.0,110.0
new_york,Nueva York,new_york:midwood,Midwood,109,109,75.7,0.6944954128440367,40.62017,-73.96029,1.0,0.6944954128440367,107.0,9.0
new_york,Nueva York,new_york:mott haven,Mott Haven,60,60,128.57,2.1428333333333334,40.81085,-73.92037,1.0,2.1428333333333334,10.0,106.0
new_york,Nueva York,new_york:murray hill,Murray Hill,485,485,314.26,0.6479587628865979,40.74775,-73.97593,1.0,0.6479587628865979,110.0,6.0
new_york,Nueva York,new_york:noho,NoHo,78,78,49.72,0.6374358974358975,40.726820000000004,-73.99301,1.0,0.6374358974358975,111.0,5.0
new_york,Nueva York,new_york:queens village,Queens Village,60,60,161.04,2.6839999999999997,40.71306,-73.74350000000001,1.0,2.6839999999999997,4.0,112.0
new_york,Nueva York,new_york:richmond hill,Richmond Hill,94,94,214.73,2.2843617021276597,40.694464999999994,-73.828945,1.0,2.2843617021276597,8.0,108.0
new_york,Nueva York,new_york:rosedale,Rosedale,59,59,136.7,2.3169491525423727,40.65792,-73.73432,1.0,2.3169491525423727,7.0,109.0
new_york,Nueva York,new_york:south ozone park,South Ozone Park,40,40,120.78999999999999,3.0197499999999997,40.672655,-73.796785,1.0,3.0197499999999997,3.0,113.0
new_york,Nueva York,new_york:springfield gardens,Springfield Gardens,85,85,356.42,4.193176470588235,40.66509,-73.76345,1.0,4.193176470588235,2.0,114.0
new_york,Nueva York,new_york:st. albans,St. Albans,76,76,173.58,2.2839473684210527,40.69529,-73.762365,1.0,2.2839473684210527,9.0,107.0
new_york,Nueva York,new_york:stuyvesant town,Stuyvesant Town,37,37,25.86,0.6989189189189189,40.73182,-73.97857,1.0,0.6989189189189189,106.0,10.0
new_york,Nueva York,new_york:tribeca,Tribeca,177,177,91.84,0.5188700564971752,40.71785,-74.00694,1.0,0.5188700564971752,113.0,3.0
new_york,Nueva York,new_york:vinegar hill,Vinegar Hill,34,34,21.57,0.6344117647058823,40.701505,-73.98335,1.0,0.6344117647058823,112.0,4.0
sydney,Sídney,sydney:auburn,Auburn,469,468,862.7,1.8433760683760685,-33.84714136756824,151.0736512534,0.997867803837953,1.8433760683760685,1.0,37.0
sydney,Sídney,sydney:botany bay,Botany Bay,600,600,629.81,1.0496833333333333,-33.9280687767113,151.19466790677396,1.0,1.0496833333333333,6.0,32.0
sydney,Sídney,sydney:fairfield,Fairfield,76,76,84.38,1.1102631578947368,-33.88086631464884,150.936762688098,1.0,1.1102631578947368,5.0,33.0
sydney,Sídney,sydney:holroyd,Holroyd,125,125,67.47,0.53976,-33.82530983752309,150.97602848772354,1.0,0.53976,31.0,7.0
sydney,Sídney,sydney:hornsby,Hornsby,391,391,344.76,0.8817391304347826,-33.71645991688288,151.08787333218336,1.0,0.8817391304347826,10.0,28.0
sydney,Sídney,sydney:ku-ring-gai,Ku-Ring-Gai,340,338,213.82,0.632603550295858,-33.75255234470148,151.15668173523758,0.9941176470588236,0.632603550295858,29.0,9.0
sydney,Sídney,sydney:lane cove,Lane Cove,289,289,188.83,0.6533910034602076,-33.81941713004474,151.17398483377764,1.0,0.6533910034602076,28.0,10.0
sydney,Sídney,sydney:manly,Manly,1800,1793,877.77,0.4895538204127161,-33.79661940832992,151.2838190513826,0.9961111111111111,0.4895538204127161,33.0,5.0
sydney,Sídney,sydney:mosman,Mosman,534,531,282.69,0.5323728813559322,-33.82662389138636,151.24234728119688,0.9943820224719101,0.5323728813559322,32.0,6.0
sydney,Sídney,sydney:parramatta,Parramatta,520,518,475.79,0.9185135135135135,-33.81257350333724,151.00910889514103,0.9961538461538462,0.9185135135135135,9.0,29.0
sydney,Sídney,sydney:penrith,Penrith,132,132,179.75,1.3617424242424243,-33.760550399220904,150.71134262516858,1.0,1.3617424242424243,2.0,36.0
sydney,Sídney,sydney:randwick,Randwick,3346,3333,1461.92,0.4386198619861986,-33.92040506695558,151.2482174810176,0.9961147638971907,0.4386198619861986,36.0,2.0
sydney,Sídney,sydney:rockdale,Rockdale,729,726,678.3,0.934297520661157,-33.94369578986807,151.14651189009138,0.9958847736625515,0.934297520661157,8.0,30.0
sydney,Sídney,sydney:strathfield,Strathfield,171,170,171.85,1.0108823529411763,-33.86619055825244,151.08134334949145,0.9941520467836257,1.0108823529411763,7.0,31.0
sydney,Sídney,sydney:sutherland shire,Sutherland Shire,468,467,541.98,1.160556745182013,-34.04849127962193,151.14475266757756,0.9978632478632479,1.160556745182013,4.0,34.0
sydney,Sídney,sydney:sydney,Sydney,9241,9218,10797.1,1.1713061401605556,-33.88197781603166,151.20740770104322,0.9975110918731739,1.1713061401605556,3.0,35.0
