id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29047143,"(Only female) Amazing, convenient place!(Shared)",200054714,Yoohee,,Waverley,-33.896357285455835,151.25076103010153,Private room,60,1,0,,,5,86
29047236,Beautiful apartment on the lower North Shore,51000430,John,,North Sydney,-33.84521833332971,151.22330661040593,Entire home/apt,195,1,0,,,1,8
29048009,Skyline Speculator Olympic park Free wifi+Carpark,181698992,Aaron,,Auburn,-33.84757074911242,151.0748955253681,Entire home/apt,203,1,4,2018-11-15,2.18,35,216
29048126,Cozy studio near Eastvilliage shopping center,181698992,Aaron,,Sydney,-33.90307939247103,151.21328983664736,Entire home/apt,109,1,4,2018-12-03,4,35,257
29048162,Large sgl rm close to shops/restaurants/transport.,159933426,David,,Randwick,-33.922495428585,151.23043111960635,Private room,40,14,0,,,20,34
29048224,(female or couple) Convenient Hotel !(share),200054714,Yoohee,,Randwick,-33.91510417512673,151.23969522510427,Shared room,50,1,4,2018-11-12,2.22,5,28
29048821,"Shared room in Wolli Creek, close to the airport",105194851,Astrid,,Rockdale,-33.93015011566512,151.15369988772022,Shared room,25,3,1,2018-10-27,0.71,1,0
29048828,Downtown high-end apartment short-term rental,190601472,Helen,,Sydney,-33.885933623182204,151.20206925417023,Entire home/apt,100,7,0,,,1,63
29051597,heart of Bondi,218918915,Yixiong,,Waverley,-33.89147412249981,151.25948552532154,Private room,60,1,0,,,1,79
29053150,Specious room close to amenities,77456794,Pradnya,,Parramatta,-33.815229298937595,151.00024984289593,Private room,51,1,3,2018-12-04,3,1,56
29054200,Room available in Parramatta area.,147187786,Shikha,,Parramatta,-33.82025917294049,151.01851217176997,Private room,50,1,4,2018-10-28,1.97,1,357
29058289,Beautiful garden apartment in north Bondi.,10750564,Fiona,,Waverley,-33.88321796871267,151.2707642647876,Entire home/apt,300,7,1,,,1,29
29059192,Share room,81390790,Alejandro,,Waverley,-33.89299576495019,151.25535549781844,Shared room,30,2,2,2018-11-18,1.46,1,0
29059839,"""Safari Lodge""",82759177,Susie,,Pittwater,-33.665644880811115,151.29426102825022,Entire home/apt,120,1,4,2018-12-01,2.45,1,133
29060183,Literally a box cave type room. 1 single bed,137220307,Jessika,,Botany Bay,-33.95332120706881,151.22680442087744,Private room,46,90,0,,,1,365
29061055,Spacious Apartment all to yourself,218995978,Abedha,,Canterbury,-33.91782601129033,151.07015212815784,Entire home/apt,125,7,0,,,1,73
29062010,Flemington unit,219003070,Hans,,Strathfield,-33.860549136708265,151.0664003460282,Private room,35,1,2,2018-11-22,2,1,40
29062193,Beachside resort apartment Manly Village,58503756,Julie,,Manly,-33.79850030822898,151.2857871781066,Entire home/apt,190,3,0,,,1,144
29062349,Best apartment in manly!,67457634,Marcos,,Manly,-33.798759741011985,151.2781115566787,Private room,79,3,1,2018-10-13,0.54,1,6
